# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
E58B83	52C3	9675	CBD6	4B56	勃	 &#21187;
E58B84	52C4		8FB3E6	443366	勄	 &#21188;
E58B85	52C5	92BA	C4BC	443C	勅	 &#21189;
E58B86	52C6		8FB3E7	443367	勆	 &#21190;
E58B87	52C7	9745	CDA6	4D26	勇	 &#21191;
E58B88	52C8		8FB3E8	443368	勈	 &#21192;
E58B89	52C9	95D7	CAD9	4A59	勉	 &#21193;
E58B8A	52CA				勊	 &#21194;
E58B8B	52CB				勋	 &#21195;
E58B8C	52CC		8FB3E9	443369	勌	 &#21196;
E58B8D	52CD	99A5	D2A7	5227	勍	 &#21197;
E58B8E	52CE				勎	 &#21198;
E58B8F	52CF		8FB3EA	44336A	勏	 &#21199;
E58B90	52D0				勐	 &#21200;
E58B91	52D1		8FB3EB	44336B	勑	 &#21201;
E58B92	52D2	E8D3	F0D5	7055	勒	 &#21202;
E58B93	52D3				勓	 &#21203;
E58B94	52D4		8FB3EC	44336C	勔	 &#21204;
E58B95	52D5	93AE	C6B0	4630	動	 &#21205;
E58B96	52D6		8FB3ED	44336D	勖	 &#21206;
E58B97	52D7	99A6	D2A8	5228	勗	 &#21207;
E58B98	52D8	8AA8	B4AA	342A	勘	 &#21208;
E58B99	52D9	96B1	CCB3	4C33	務	 &#21209;
E58B9A	52DA				勚	 &#21210;
E58B9B	52DB	FA88	F9CC	44336E	勛	 &#21211;
E58B9C	52DC		8FB3EF	44336F	勜	 &#21212;
E58B9D	52DD	8F9F	BEA1	3E21	勝	 &#21213;
E58B9E	52DE	99A7	D2A9	5229	勞	 &#21214;
E58B9F	52DF	95E5	CAE7	4A67	募	 &#21215;
E58BA0	52E0	99AB	D2AD	522D	勠	 &#21216;
E58BA1	52E1		8FB3F0	443370	勡	 &#21217;
E58BA2	52E2	90A8	C0AA	402A	勢	 &#21218;
E58BA3	52E3	99A8	D2AA	522A	勣	 &#21219;
E58BA4	52E4	8BCE	B6D0	3650	勤	 &#21220;
E58BA5	52E5		8FB3F1	443371	勥	 &#21221;
E58BA6	52E6	99A9	D2AB	522B	勦	 &#21222;
E58BA7	52E7	8AA9	B4AB	342B	勧	 &#21223;
E58BA8	52E8		8FB3F2	443372	勨	 &#21224;
E58BA9	52E9		8FB3F3	443373	勩	 &#21225;
E58BAA	52EA		8FB3F4	443374	勪	 &#21226;
E58BAB	52EB				勫	 &#21227;
E58BAC	52EC		8FB3F5	443375	勬	 &#21228;
E58BAD	52ED				勭	 &#21229;
E58BAE	52EE				勮	 &#21230;
E58BAF	52EF				勯	 &#21231;
E58BB0	52F0		8FB3F6	443376	勰	 &#21232;
E58BB1	52F1		8FB3F7	443377	勱	 &#21233;
E58BB2	52F2	8C4D	B7AE	372E	勲	 &#21234;
E58BB3	52F3	99AC	D2AE	522E	勳	 &#21235;
E58BB4	52F4		8FB3F8	443378	勴	 &#21236;
E58BB5	52F5	99AD	D2AF	522F	勵	 &#21237;
E58BB6	52F6		8FB3F9	443379	勶	 &#21238;
E58BB7	52F7		8FB3FA	44337A	勷	 &#21239;
E58BB8	52F8	99AE	D2B0	5230	勸	 &#21240;
E58BB9	52F9	99AF	D2B1	5231	勹	 &#21241;
E58BBA	52FA	8ED9	BCDB	3C5B	勺	 &#21242;
E58BBB	52FB				勻	 &#21243;
E58BBC	52FC				勼	 &#21244;
E58BBD	52FD				勽	 &#21245;
E58BBE	52FE	8CF9	B8FB	387B	勾	 &#21246;
E58BBF	52FF	96DC	CCDE	4C5E	勿	 &#21247;
E58C80	5300	FA89	F9CD	44337B	匀	 &#21248;
E58C81	5301	96E6	CCE8	4C68	匁	 &#21249;
E58C82	5302	93F5	C6F7	4677	匂	 &#21250;
E58C83	5303		8FB3FC	44337C	匃	 &#21251;
E58C84	5304				匄	 &#21252;
E58C85	5305	95EF	CAF1	4A71	包	 &#21253;
E58C86	5306	99B0	D2B2	5232	匆	 &#21254;
E58C87	5307	FA8A	F9CE		匇	 &#21255;
E58C88	5308	99B1	D2B3	5233	匈	 &#21256;
E58C89	5309				匉	 &#21257;
E58C8A	530A		8FB3FD	44337D	匊	 &#21258;
E58C8B	530B		8FB3FE	44337E	匋	 &#21259;
E58C8C	530C		8FB4A1	443421	匌	 &#21260;
E58C8D	530D	99B3	D2B5	5235	匍	 &#21261;
E58C8E	530E				匎	 &#21262;
E58C8F	530F	99B5	D2B7	5237	匏	 &#21263;
E58C90	5310	99B4	D2B6	5236	匐	 &#21264;
E58C91	5311		8FB4A2	443422	匑	 &#21265;
E58C92	5312				匒	 &#21266;
E58C93	5313		8FB4A3	443423	匓	 &#21267;
E58C94	5314				匔	 &#21268;
E58C95	5315	99B6	D2B8	5238	匕	 &#21269;
E58C96	5316	89BB	B2BD	323D	化	 &#21270;
E58C97	5317	966B	CBCC	4B4C	北	 &#21271;
E58C98	5318		8FB4A4	443424	匘	 &#21272;
E58C99	5319	8DFA	BAFC	3A7C	匙	 &#21273;
E58C9A	531A	99B7	D2B9	5239	匚	 &#21274;
E58C9B	531B		8FB4A5	443425	匛	 &#21275;
E58C9C	531C		8FB4A6	443426	匜	 &#21276;
E58C9D	531D	9178	C1D9	4159	匝	 &#21277;
E58C9E	531E		8FB4A7	443427	匞	 &#21278;
E58C9F	531F		8FB4A8	443428	匟	 &#21279;
E58CA0	5320	8FA0	BEA2	3E22	匠	 &#21280;
E58CA1	5321	8BA7	B6A9	3629	匡	 &#21281;
E58CA2	5322				匢	 &#21282;
E58CA3	5323	99B8	D2BA	523A	匣	 &#21283;
E58CA4	5324	FA8B	F9CF		匤	 &#21284;
E58CA5	5325		8FB4A9	443429	匥	 &#21285;
E58CA6	5326				匦	 &#21286;
E58CA7	5327		8FB4AA	44342A	匧	 &#21287;
E58CA8	5328		8FB4AB	44342B	匨	 &#21288;
E58CA9	5329		8FB4AC	44342C	匩	 &#21289;
E58CAA	532A	94D9	C8DB	485B	匪	 &#21290;
E58CAB	532B		8FB4AD	44342D	匫	 &#21291;
E58CAC	532C		8FB4AE	44342E	匬	 &#21292;
E58CAD	532D		8FB4AF	44342F	匭	 &#21293;
E58CAE	532E				匮	 &#21294;
E58CAF	532F	99B9	D2BB	523B	匯	 &#21295;
E58CB0	5330		8FB4B0	443430	匰	 &#21296;
E58CB1	5331	99BA	D2BC	523C	匱	 &#21297;
E58CB2	5332		8FB4B1	443431	匲	 &#21298;
E58CB3	5333	99BB	D2BD	523D	匳	 &#21299;
E58CB4	5334				匴	 &#21300;
E58CB5	5335		8FB4B2	443432	匵	 &#21301;
E58CB6	5336				匶	 &#21302;
E58CB7	5337				匷	 &#21303;
E58CB8	5338	99BC	D2BE	523E	匸	 &#21304;
E58CB9	5339	9543	C9A4	4924	匹	 &#21305;
E58CBA	533A	8BE6	B6E8	3668	区	 &#21306;
E58CBB	533B	88E3	B0E5	3065	医	 &#21307;
E58CBC	533C		8FB4B3	443433	匼	 &#21308;
E58CBD	533D		8FB4B4	443434	匽	 &#21309;
E58CBE	533E		8FB4B5	443435	匾	 &#21310;
E58CBF	533F	93BD	C6BF	463F	匿	 &#21311;
E58D80	5340	99BD	D2BF	523F	區	 &#21312;
E58D81	5341	8F5C	BDBD	3D3D	十	 &#21313;
E58D82	5342		8FB4B6	443436	卂	 &#21314;
E58D83	5343	90E7	C0E9	4069	千	 &#21315;
E58D84	5344				卄	 &#21316;
E58D85	5345	99BF	D2C1	5241	卅	 &#21317;
E58D86	5346	99BE	D2C0	5240	卆	 &#21318;
E58D87	5347	8FA1	BEA3	3E23	升	 &#21319;
E58D88	5348	8CDF	B8E1	3861	午	 &#21320;
E58D89	5349	99C1	D2C3	5243	卉	 &#21321;
E58D8A	534A	94BC	C8BE	483E	半	 &#21322;
E58D8B	534B		8FB4B8	443438	卋	 &#21323;
E58D8C	534C		8FB4B7	443437	卌	 &#21324;
E58D8D	534D	99C2	D2C4	5244	卍	 &#21325;
E58D8E	534E				华	 &#21326;
E58D8F	534F				协	 &#21327;
E58D90	5350				卐	 &#21328;
E58D91	5351	94DA	C8DC	485C	卑	 &#21329;
E58D92	5352	91B2	C2B4	4234	卒	 &#21330;
E58D93	5353	91EC	C2EE	426E	卓	 &#21331;
E58D94	5354	8BA6	B6A8	3628	協	 &#21332;
E58D95	5355				单	 &#21333;
E58D96	5356				卖	 &#21334;
E58D97	5357	93EC	C6EE	466E	南	 &#21335;
E58D98	5358	9250	C3B1	4331	単	 &#21336;
E58D99	5359		8FB4B9	443439	卙	 &#21337;
E58D9A	535A	948E	C7EE	476E	博	 &#21338;
E58D9B	535B		8FB4BA	44343A	卛	 &#21339;
E58D9C	535C	966D	CBCE	4B4E	卜	 &#21340;
E58D9D	535D				卝	 &#21341;
E58D9E	535E	99C4	D2C6	5246	卞	 &#21342;
E58D9F	535F				卟	 &#21343;
E58DA0	5360	90E8	C0EA	406A	占	 &#21344;
E58DA1	5361		8FB4BB	44343B	卡	 &#21345;
E58DA2	5362				卢	 &#21346;
E58DA3	5363		8FB4BC	44343C	卣	 &#21347;
E58DA4	5364				卤	 &#21348;
E58DA5	5365		8FB4BD	44343D	卥	 &#21349;
E58DA6	5366	8C54	B7B5	3735	卦	 &#21350;
E58DA7	5367				卧	 &#21351;
E58DA8	5368				卨	 &#21352;
E58DA9	5369	99C5	D2C7	5247	卩	 &#21353;
E58DAA	536A				卪	 &#21354;
E58DAB	536B				卫	 &#21355;
E58DAC	536C		8FB4BE	44343E	卬	 &#21356;
E58DAD	536D		8FB4BF	44343F	卭	 &#21357;
E58DAE	536E	99C6	D2C8	5248	卮	 &#21358;
E58DAF	536F	894B	B1AC	312C	卯	 &#21359;
E58DB0	5370	88F3	B0F5	3075	印	 &#21360;
E58DB1	5371	8AEB	B4ED	346D	危	 &#21361;
E58DB2	5372	FA8C	F9D0	443440	卲	 &#21362;
E58DB3	5373	91A6	C2A8	4228	即	 &#21363;
E58DB4	5374	8B70	B5D1	3551	却	 &#21364;
E58DB5	5375	9791	CDF1	4D71	卵	 &#21365;
E58DB6	5376				卶	 &#21366;
E58DB7	5377	99C9	D2CB	524B	卷	 &#21367;
E58DB8	5378	89B5	B2B7	3237	卸	 &#21368;
E58DB9	5379		8FB4C1	443441	卹	 &#21369;
E58DBA	537A				卺	 &#21370;
E58DBB	537B	99C8	D2CA	524A	卻	 &#21371;
E58DBC	537C				卼	 &#21372;
E58DBD	537D				卽	 &#21373;
E58DBE	537E		8FB4C2	443442	卾	 &#21374;
E58DBF	537F	8BA8	B6AA	362A	卿	 &#21375;
E58E80	5380				厀	 &#21376;
E58E81	5381				厁	 &#21377;
E58E82	5382	99CA	D2CC	524C	厂	 &#21378;
E58E83	5383		8FB4C3	443443	厃	 &#21379;
E58E84	5384	96EF	CCF1	4C71	厄	 &#21380;
E58E85	5385				厅	 &#21381;
E58E86	5386				历	 &#21382;
E58E87	5387		8FB4C4	443444	厇	 &#21383;
E58E88	5388		8FB4C5	443445	厈	 &#21384;
E58E89	5389				厉	 &#21385;
E58E8A	538A				厊	 &#21386;
E58E8B	538B				压	 &#21387;
E58E8C	538C				厌	 &#21388;
E58E8D	538D				厍	 &#21389;
E58E8E	538E		8FB4C6	443446	厎	 &#21390;
E58E8F	538F				厏	 &#21391;
E58E90	5390				厐	 &#21392;
E58E91	5391				厑	 &#21393;
E58E92	5392				厒	 &#21394;
E58E93	5393	FA8D	F9D1	443447	厓	 &#21395;
E58E94	5394		8FB4C8	443448	厔	 &#21396;
E58E95	5395				厕	 &#21397;
E58E96	5396	99CB	D2CD	524D	厖	 &#21398;
E58E97	5397				厗	 &#21399;
E58E98	5398	97D0	CED2	4E52	厘	 &#21400;
E58E99	5399		8FB4C9	443449	厙	 &#21401;
E58E9A	539A	8CFA	B8FC	387C	厚	 &#21402;
E58E9B	539B				厛	 &#21403;
E58E9C	539C				厜	 &#21404;
E58E9D	539D		8FB4CA	44344A	厝	 &#21405;
E58E9E	539E				厞	 &#21406;
E58E9F	539F	8CB4	B8B6	3836	原	 &#21407;
E58EA0	53A0	99CC	D2CE	524E	厠	 &#21408;
E58EA1	53A1		8FB4CB	44344B	厡	 &#21409;
E58EA2	53A2				厢	 &#21410;
E58EA3	53A3				厣	 &#21411;
E58EA4	53A4		8FB4CC	44344C	厤	 &#21412;
E58EA5	53A5	99CE	D2D0	5250	厥	 &#21413;
E58EA6	53A6	99CD	D2CF	524F	厦	 &#21414;
E58EA7	53A7				厧	 &#21415;
E58EA8	53A8	907E	BFDF	3F5F	厨	 &#21416;
E58EA9	53A9	8958	B1B9	3139	厩	 &#21417;
E58EAA	53AA		8FB4CD	44344D	厪	 &#21418;
E58EAB	53AB		8FB4CE	44344E	厫	 &#21419;
E58EAC	53AC				厬	 &#21420;
E58EAD	53AD	897D	B1DE	315E	厭	 &#21421;
E58EAE	53AE	99CF	D2D1	5251	厮	 &#21422;
E58EAF	53AF		8FB4CF	44344F	厯	 &#21423;
E58EB0	53B0	99D0	D2D2	5252	厰	 &#21424;
E58EB1	53B1				厱	 &#21425;
E58EB2	53B2	FA8E	F9D2	443450	厲	 &#21426;
E58EB3	53B3	8CB5	B8B7	3837	厳	 &#21427;
E58EB4	53B4		8FB4D1	443451	厴	 &#21428;
E58EB5	53B5		8FB4D2	443452	厵	 &#21429;
E58EB6	53B6	99D1	D2D3	5253	厶	 &#21430;
E58EB7	53B7		8FB4D3	443453	厷	 &#21431;
E58EB8	53B8		8FB4D4	443454	厸	 &#21432;
E58EB9	53B9				厹	 &#21433;
E58EBA	53BA		8FB4D5	443455	厺	 &#21434;
E58EBB	53BB	8B8E	B5EE	356E	去	 &#21435;
E58EBC	53BC				厼	 &#21436;
E58EBD	53BD		8FB4D6	443456	厽	 &#21437;
E58EBE	53BE				厾	 &#21438;
E58EBF	53BF				县	 &#21439;
E58F80	53C0		8FB4D7	443457	叀	 &#21440;
E58F81	53C1				叁	 &#21441;
E58F82	53C2	8E51	BBB2	3B32	参	 &#21442;
E58F83	53C3	99D2	D2D4	5254	參	 &#21443;
E58F84	53C4				叄	 &#21444;
E58F85	53C5		8FB4D8	443458	叅	 &#21445;
E58F86	53C6				叆	 &#21446;
E58F87	53C7				叇	 &#21447;
E58F88	53C8	9694	CBF4	4B74	又	 &#21448;
E58F89	53C9	8DB3	BAB5	3A35	叉	 &#21449;
E58F8A	53CA	8B79	B5DA	355A	及	 &#21450;
E58F8B	53CB	9746	CDA7	4D27	友	 &#21451;
E58F8C	53CC	916F	C1D0	4150	双	 &#21452;
E58F8D	53CD	94BD	C8BF	483F	反	 &#21453;
E58F8E	53CE	8EFB	BCFD	3C7D	収	 &#21454;
E58F8F	53CF		8FB4D9	443459	叏	 &#21455;
E58F90	53D0				叐	 &#21456;
E58F91	53D1				发	 &#21457;
E58F92	53D2		8FB4DA	44345A	叒	 &#21458;
E58F93	53D3		8FB4DB	44345B	叓	 &#21459;
E58F94	53D4	8F66	BDC7	3D47	叔	 &#21460;
E58F95	53D5		8FB4DC	44345C	叕	 &#21461;
E58F96	53D6	8EE6	BCE8	3C68	取	 &#21462;
E58F97	53D7	8EF3	BCF5	3C75	受	 &#21463;
E58F98	53D8				变	 &#21464;
E58F99	53D9	8F96	BDF6	3D76	叙	 &#21465;
E58F9A	53DA		8FB4DD	44345D	叚	 &#21466;
E58F9B	53DB	94BE	C8C0	4840	叛	 &#21467;
E58F9C	53DC				叜	 &#21468;
E58F9D	53DD	FA8F	F9D3	44345E	叝	 &#21469;
E58F9E	53DE		8FB4DF	44345F	叞	 &#21470;
E58F9F	53DF	99D5	D2D7	5257	叟	 &#21471;
E58FA0	53E0		8FB4E0	443460	叠	 &#21472;
E58FA1	53E1	8962	B1C3	3143	叡	 &#21473;
E58FA2	53E2	9170	C1D1	4151	叢	 &#21474;
E58FA3	53E3	8CFB	B8FD	387D	口	 &#21475;
E58FA4	53E4	8CC3	B8C5	3845	古	 &#21476;
E58FA5	53E5	8BE5	B6E7	3667	句	 &#21477;
E58FA6	53E6		8FB4E1	443461	另	 &#21478;
E58FA7	53E7		8FB4E2	443462	叧	 &#21479;
E58FA8	53E8	99D9	D2DB	525B	叨	 &#21480;
E58FA9	53E9	9240	C3A1	4321	叩	 &#21481;
E58FAA	53EA	91FC	C2FE	427E	只	 &#21482;
E58FAB	53EB	8BA9	B6AB	362B	叫	 &#21483;
E58FAC	53EC	8FA2	BEA4	3E24	召	 &#21484;
E58FAD	53ED	99DA	D2DC	525C	叭	 &#21485;
E58FAE	53EE	99D8	D2DA	525A	叮	 &#21486;
E58FAF	53EF	89C2	B2C4	3244	可	 &#21487;
E58FB0	53F0	91E4	C2E6	4266	台	 &#21488;
E58FB1	53F1	8EB6	BCB8	3C38	叱	 &#21489;
E58FB2	53F2	8E6A	BBCB	3B4B	史	 &#21490;
E58FB3	53F3	8945	B1A6	3126	右	 &#21491;
E58FB4	53F4				叴	 &#21492;
E58FB5	53F5		8FB4E3	443463	叵	 &#21493;
E58FB6	53F6	8A90	B3F0	3370	叶	 &#21494;
E58FB7	53F7	8D86	B9E6	3966	号	 &#21495;
E58FB8	53F8	8E69	BBCA	3B4A	司	 &#21496;
E58FB9	53F9				叹	 &#21497;
E58FBA	53FA	99DB	D2DD	525D	叺	 &#21498;
E58FBB	53FB				叻	 &#21499;
E58FBC	53FC				叼	 &#21500;
E58FBD	53FD				叽	 &#21501;
E58FBE	53FE				叾	 &#21502;
E58FBF	53FF				叿	 &#21503;
E59080	5400				吀	 &#21504;
E59081	5401	99DC	D2DE	525E	吁	 &#21505;
E59082	5402		8FB4E4	443464	吂	 &#21506;
E59083	5403	8B68	B5C9	3549	吃	 &#21507;
E59084	5404	8A65	B3C6	3346	各	 &#21508;
E59085	5405				吅	 &#21509;
E59086	5406				吆	 &#21510;
E59087	5407				吇	 &#21511;
E59088	5408	8D87	B9E7	3967	合	 &#21512;
E59089	5409	8B67	B5C8	3548	吉	 &#21513;
E5908A	540A	92DD	C4DF	445F	吊	 &#21514;
E5908B	540B	8944	B1A5	3125	吋	 &#21515;
E5908C	540C	93AF	C6B1	4631	同	 &#21516;
E5908D	540D	96BC	CCBE	4C3E	名	 &#21517;
E5908E	540E	8D40	B9A1	3921	后	 &#21518;
E5908F	540F	9799	CDF9	4D79	吏	 &#21519;
E59090	5410	9366	C5C7	4547	吐	 &#21520;
E59091	5411	8CFC	B8FE	387E	向	 &#21521;
E59092	5412				吒	 &#21522;
E59093	5413		8FB4E5	443465	吓	 &#21523;
E59094	5414				吔	 &#21524;
E59095	5415				吕	 &#21525;
E59096	5416				吖	 &#21526;
E59097	5417				吗	 &#21527;
E59098	5418				吘	 &#21528;
E59099	5419				吙	 &#21529;
E5909A	541A		8FB4E6	443466	吚	 &#21530;
E5909B	541B	8C4E	B7AF	372F	君	 &#21531;
E5909C	541C				吜	 &#21532;
E5909D	541D	99E5	D2E7	5267	吝	 &#21533;
E5909E	541E				吞	 &#21534;
E5909F	541F	8BE1	B6E3	3663	吟	 &#21535;
E590A0	5420	9669	CBCA	4B4A	吠	 &#21536;
E590A1	5421		8FB4E7	443467	吡	 &#21537;
E590A2	5422				吢	 &#21538;
E590A3	5423				吣	 &#21539;
E590A4	5424				吤	 &#21540;
E590A5	5425				吥	 &#21541;
E590A6	5426	94DB	C8DD	485D	否	 &#21542;
E590A7	5427		8FB4E8	443468	吧	 &#21543;
E590A8	5428		8FB4E9	443469	吨	 &#21544;
E590A9	5429	99E4	D2E6	5266	吩	 &#21545;
E590AA	542A		8FB4EA	44346A	吪	 &#21546;
E590AB	542B	8ADC	B4DE	345E	含	 &#21547;
E590AC	542C	99DF	D2E1	5261	听	 &#21548;
E590AD	542D	99E0	D2E2	5262	吭	 &#21549;
E590AE	542E	99E2	D2E4	5264	吮	 &#21550;
E590AF	542F		8FB4EB	44346B	启	 &#21551;
E590B0	5430				吰	 &#21552;
E590B1	5431		8FB4EC	44346C	吱	 &#21553;
E590B2	5432				吲	 &#21554;
E590B3	5433				吳	 &#21555;
E590B4	5434		8FB4ED	44346D	吴	 &#21556;
E590B5	5435		8FB4EE	44346E	吵	 &#21557;
E590B6	5436	99E3	D2E5	5265	吶	 &#21558;
E590B7	5437				吷	 &#21559;
E590B8	5438	8B7A	B5DB	355B	吸	 &#21560;
E590B9	5439	9081	BFE1	3F61	吹	 &#21561;
E590BA	543A				吺	 &#21562;
E590BB	543B	95AB	CAAD	4A2D	吻	 &#21563;
E590BC	543C	99E1	D2E3	5263	吼	 &#21564;
E590BD	543D	99DD	D2DF	525F	吽	 &#21565;
E590BE	543E	8CE1	B8E3	3863	吾	 &#21566;
E590BF	543F				吿	 &#21567;
E59180	5440	99DE	D2E0	5260	呀	 &#21568;
E59181	5441				呁	 &#21569;
E59182	5442	9843	CFA4	4F24	呂	 &#21570;
E59183	5443		8FB4EF	44346F	呃	 &#21571;
E59184	5444		8FB4F0	443470	呄	 &#21572;
E59185	5445				呅	 &#21573;
E59186	5446	95F0	CAF2	4A72	呆	 &#21574;
E59187	5447		8FB4F1	443471	呇	 &#21575;
E59188	5448	92E6	C4E8	4468	呈	 &#21576;
E59189	5449	8CE0	B8E2	3862	呉	 &#21577;
E5918A	544A	8D90	B9F0	3970	告	 &#21578;
E5918B	544B				呋	 &#21579;
E5918C	544C				呌	 &#21580;
E5918D	544D		8FB4F2	443472	呍	 &#21581;
E5918E	544E	99E6	D2E8	5268	呎	 &#21582;
E5918F	544F		8FB4F3	443473	呏	 &#21583;
E59190	5450				呐	 &#21584;
E59191	5451	93DB	C6DD	465D	呑	 &#21585;
E59192	5452				呒	 &#21586;
E59193	5453				呓	 &#21587;
E59194	5454				呔	 &#21588;
E59195	5455				呕	 &#21589;
E59196	5456				呖	 &#21590;
E59197	5457				呗	 &#21591;
E59198	5458				员	 &#21592;
E59199	5459				呙	 &#21593;
E5919A	545A				呚	 &#21594;
E5919B	545B				呛	 &#21595;
E5919C	545C				呜	 &#21596;
E5919D	545D				呝	 &#21597;
E5919E	545E		8FB4F4	443474	呞	 &#21598;
E5919F	545F	99EA	D2EC	526C	呟	 &#21599;
E591A0	5460				呠	 &#21600;
E591A1	5461				呡	 &#21601;
E591A2	5462		8FB4F5	443475	呢	 &#21602;
E591A3	5463				呣	 &#21603;
E591A4	5464		8FB4F6	443476	呤	 &#21604;
E591A5	5465				呥	 &#21605;
E591A6	5466		8FB4F7	443477	呦	 &#21606;
E591A7	5467		8FB4F8	443478	呧	 &#21607;
E591A8	5468	8EFC	BCFE	3C7E	周	 &#21608;
E591A9	5469		8FB4F9	443479	呩	 &#21609;
E591AA	546A	8EF4	BCF6	3C76	呪	 &#21610;
E591AB	546B		8FB4FA	44347A	呫	 &#21611;
E591AC	546C				呬	 &#21612;
E591AD	546D		8FB4FB	44347B	呭	 &#21613;
E591AE	546E		8FB4FC	44347C	呮	 &#21614;
E591AF	546F				呯	 &#21615;
E591B0	5470	99ED	D2EF	526F	呰	 &#21616;
E591B1	5471	99EB	D2ED	526D	呱	 &#21617;
E591B2	5472				呲	 &#21618;
E591B3	5473	96A1	CCA3	4C23	味	 &#21619;
E591B4	5474		8FB4FD	44347D	呴	 &#21620;
E591B5	5475	99E8	D2EA	526A	呵	 &#21621;
E591B6	5476	99F1	D2F3	5273	呶	 &#21622;
E591B7	5477	99EC	D2EE	526E	呷	 &#21623;
E591B8	5478				呸	 &#21624;
E591B9	5479				呹	 &#21625;
E591BA	547A				呺	 &#21626;
E591BB	547B	99EF	D2F1	5271	呻	 &#21627;
E591BC	547C	8CC4	B8C6	3846	呼	 &#21628;
E591BD	547D	96BD	CCBF	4C3F	命	 &#21629;
E591BE	547E				呾	 &#21630;
E591BF	547F		8FB4FE	44347E	呿	 &#21631;
E59280	5480	99F0	D2F2	5272	咀	 &#21632;
E59281	5481		8FB5A1	443521	咁	 &#21633;
E59282	5482				咂	 &#21634;
E59283	5483		8FB5A2	443522	咃	 &#21635;
E59284	5484	99F2	D2F4	5274	咄	 &#21636;
E59285	5485		8FB5A3	443523	咅	 &#21637;
E59286	5486	99F4	D2F6	5276	咆	 &#21638;
E59287	5487				咇	 &#21639;
E59288	5488		8FB5A4	443524	咈	 &#21640;
E59289	5489		8FB5A5	443525	咉	 &#21641;
E5928A	548A	FA92	F9D6		咊	 &#21642;
E5928B	548B	8DEE	BAF0	3A70	咋	 &#21643;
E5928C	548C	9861	CFC2	4F42	和	 &#21644;
E5928D	548D		8FB5A6	443526	咍	 &#21645;
E5928E	548E	99E9	D2EB	526B	咎	 &#21646;
E5928F	548F	99E7	D2E9	5269	咏	 &#21647;
E59290	5490	99F3	D2F5	5275	咐	 &#21648;
E59291	5491		8FB5A7	443527	咑	 &#21649;
E59292	5492	99EE	D2F0	5270	咒	 &#21650;
E59293	5493				咓	 &#21651;
E59294	5494				咔	 &#21652;
E59295	5495		8FB5A8	443528	咕	 &#21653;
E59296	5496		8FB5A9	443529	咖	 &#21654;
E59297	5497				咗	 &#21655;
E59298	5498				咘	 &#21656;
E59299	5499				咙	 &#21657;
E5929A	549A				咚	 &#21658;
E5929B	549B				咛	 &#21659;
E5929C	549C	FA91	F9D5	44352A	咜	 &#21660;
E5929D	549D				咝	 &#21661;
E5929E	549E				咞	 &#21662;
E5929F	549F		8FB5AB	44352B	咟	 &#21663;
E592A0	54A0				咠	 &#21664;
E592A1	54A1		8FB5AC	44352C	咡	 &#21665;
E592A2	54A2	99F6	D2F8	5278	咢	 &#21666;
E592A3	54A3				咣	 &#21667;
E592A4	54A4	9A42	D3A3	5323	咤	 &#21668;
E592A5	54A5	99F8	D2FA	527A	咥	 &#21669;
E592A6	54A6		8FB5AD	44352D	咦	 &#21670;
E592A7	54A7		8FB5AE	44352E	咧	 &#21671;
E592A8	54A8	99FC	D2FE	527E	咨	 &#21672;
E592A9	54A9	FA93	F9D7	44352F	咩	 &#21673;
E592AA	54AA		8FB5B0	443530	咪	 &#21674;
E592AB	54AB	9A40	D3A1	5321	咫	 &#21675;
E592AC	54AC	99F9	D2FB	527B	咬	 &#21676;
E592AD	54AD		8FB5B1	443531	咭	 &#21677;
E592AE	54AE		8FB5B2	443532	咮	 &#21678;
E592AF	54AF	9A5D	D3BE	533E	咯	 &#21679;
E592B0	54B0				咰	 &#21680;
E592B1	54B1		8FB5B3	443533	咱	 &#21681;
E592B2	54B2	8DE7	BAE9	3A69	咲	 &#21682;
E592B3	54B3	8A50	B3B1	3331	咳	 &#21683;
E592B4	54B4				咴	 &#21684;
E592B5	54B5				咵	 &#21685;
E592B6	54B6				咶	 &#21686;
E592B7	54B7		8FB5B4	443534	咷	 &#21687;
E592B8	54B8	99F7	D2F9	5279	咸	 &#21688;
E592B9	54B9		8FB5B5	443535	咹	 &#21689;
E592BA	54BA		8FB5B6	443536	咺	 &#21690;
E592BB	54BB		8FB5B7	443537	咻	 &#21691;
E592BC	54BC	9A44	D3A5	5325	咼	 &#21692;
E592BD	54BD	88F4	B0F6	3076	咽	 &#21693;
E592BE	54BE	9A43	D3A4	5324	咾	 &#21694;
E592BF	54BF		8FB5B8	443538	咿	 &#21695;
E59380	54C0	88A3	B0A5	3025	哀	 &#21696;
E59381	54C1	9569	C9CA	494A	品	 &#21697;
E59382	54C2	9A41	D3A2	5322	哂	 &#21698;
E59383	54C3				哃	 &#21699;
E59384	54C4	99FA	D2FC	527C	哄	 &#21700;
E59385	54C5				哅	 &#21701;
E59386	54C6		8FB5B9	443539	哆	 &#21702;
E59387	54C7	99F5	D2F7	5277	哇	 &#21703;
E59388	54C8	99FB	D2FD	527D	哈	 &#21704;
E59389	54C9	8DC6	BAC8	3A48	哉	 &#21705;
